#Mouth boundary - rescaled Littlehampton tidal levels
#Imposed tidal water level
#
T          SL(1)
s          m 
    63180.00  -1.184633
    63240.00  -1.171705
    63300.00  -1.159000
    63360.00  -1.146554
    63420.00  -1.134309
    63480.00  -1.122187
    63540.00  -1.110106
    63600.00  -1.097986
    63660.00  -1.085747
    63720.00  -1.073309
    63780.00  -1.060592
    63840.00  -1.047516
    63900.00  -1.034000
    63960.00  -1.019986
    64020.00  -1.005505
    64080.00  -0.990607
    64140.00  -0.975344
    64200.00  -0.959768
    64260.00  -0.943931
    64320.00  -0.927884
    64380.00  -0.911679
    64440.00  -0.895367
    64500.00  -0.879000
    64560.00  -0.862618
    64620.00  -0.846215
    64680.00  -0.829771
    64740.00  -0.813270
    64800.00  -0.796691
    64860.00  -0.780017
    64920.00  -0.763229
    64980.00  -0.746309
    65040.00  -0.729239
    65100.00  -0.712000
    65160.00  -0.694577
    65220.00  -0.676971
    65280.00  -0.659186
    65340.00  -0.641226
    65400.00  -0.623093
    65460.00  -0.604794
    65520.00  -0.586331
    65580.00  -0.567708
    65640.00  -0.548930
    65700.00  -0.530000
    65760.00  -0.510927
    65820.00  -0.491739
    65880.00  -0.472469
    65940.00  -0.453148
    66000.00  -0.433810
    66060.00  -0.414488
    66120.00  -0.395213
    66180.00  -0.376018
    66240.00  -0.356936
    66300.00  -0.338000
    66360.00  -0.319219
    66420.00  -0.300512
    66480.00  -0.281774
    66540.00  -0.262902
    66600.00  -0.243790
    66660.00  -0.224336
    66720.00  -0.204434
    66780.00  -0.183980
    66840.00  -0.162870
    66900.00  -0.141000
    66960.00  -0.118268
    67020.00  -0.094581
    67080.00  -0.069849
    67140.00  -0.043983
    67200.00  -0.016892
    67260.00   0.011515
    67320.00   0.041326
    67380.00   0.072633
    67440.00   0.105525
    67500.00   0.140093
    67560.00   0.176354
    67620.00   0.214040
    67680.00   0.252807
    67740.00   0.292314
    67800.00   0.332220
    67860.00   0.372182
    67920.00   0.411859
    67980.00   0.450909
    68040.00   0.488991
    68100.00   0.525761
    68160.00   0.560981
    68220.00   0.594812
    68280.00   0.627518
    68340.00   0.659364
    68400.00   0.690613
    68460.00   0.721530
    68520.00   0.752378
    68580.00   0.783422
    68640.00   0.814925
    68700.00   0.847152
    68760.00   0.880308
    68820.00   0.914370
    68880.00   0.949257
    68940.00   0.984888
    69000.00   1.021181
    69060.00   1.058056
    69120.00   1.095431
    69180.00   1.133225
    69240.00   1.171357
    69300.00   1.209746
    69360.00   1.248317
    69420.00   1.287025
    69480.00   1.325833
    69540.00   1.364701
    69600.00   1.403593
    69660.00   1.442470
    69720.00   1.481293
    69780.00   1.520025
    69840.00   1.558627
    69900.00   1.597062
    69960.00   1.635277
    70020.00   1.673164
    70080.00   1.710600
    70140.00   1.747464
    70200.00   1.783633
    70260.00   1.818984
    70320.00   1.853395
    70380.00   1.886744
    70440.00   1.918909
    70500.00   1.949767
    70560.00   1.979271
    70620.00   2.007676
    70680.00   2.035311
    70740.00   2.062506
    70800.00   2.089590
    70860.00   2.116894
    70920.00   2.144747
